ID,Urne,QR-Code,Categorie,1 - Proteger les pietons et reduire les nuisances sonores,2 - Developper le commerce de proximite dans le quartier de l Europe,3 - Poursuivre le renouveau du parc Monceau,4 - Renover les grilles de l avenue Ruysdael et les allees du parc Monceau,5 - Restaurer la facade ouest de l eglise de la Madeleine et ses statues,6 - Restaurer le patrimoine de la place de la Concorde,7 - Restaurer les grilles emblematiques du parc Monceau - avenue Van Dyck,8 - Restaurer les grilles emblematiques du parc Monceau - avenue Velasquez,9 - Restaurer les grilles emblematiques du parc Monceau - Bd de Courcelles,"10 - Apaiser, vegetaliser des rues et places de l arrondissement",11 - Renover le marche aux fleurs de la Madeleine et le gymnase Condorcet,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
66782,U08-002,2022AR08B,Valide,3,2,3,3,4,4,4,4,3,4,4,11,0,1,4,6,0
66788,U08-003,2022AR08B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
66790,U08-004,2022AR08A,Valide,1,3,3,3,3,3,3,3,3,2,1,11,2,1,8,0,0
66792,U08-002,2022AR08A,Valide,1,2,1,2,1,2,2,1,2,2,1,11,5,6,0,0,0
66812,U08-002,2022AR08B,Valide,1,1,1,4,3,3,4,4,4,1,2,11,4,1,2,4,0
66820,U08-002,2022AR08A,Valide,1,1,1,4,4,1,4,4,4,1,1,11,6,0,0,5,0
66824,U08-001,2022AR08B,Valide,1,2,1,1,2,1,1,1,1,1,2,11,8,3,0,0,0
66826,U08-002,2022AR08B,Valide,2,1,4,4,1,4,4,3,2,1,1,11,4,2,1,4,0
66827,U08-004,2022AR08A,Valide,1,novote,novote,1,novote,novote,novote,1,novote,1,novote,4,4,0,0,0,7
66833,U08-002,2022AR08B,Valide,2,2,3,4,4,2,4,4,3,2,3,11,0,4,3,4,0
66835,U08-001,2022AR08B,Valide,1,1,novote,novote,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,7
66837,U08-002,2022AR08B,Valide,2,3,2,3,3,3,3,3,2,1,3,11,1,3,7,0,0
66839,U08-004,2022AR08A,Blanc,1 2,1 2 3,1 2 3,1 2,1 2,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
66845,U08-002,2022AR08A,Valide,2,1,2,3,3,3,novote,2,novote,2,2,9,1,5,3,0,2
