ID,Urne,QR-Code,Categorie,1 - Renover le terrain du stade de la Muette,2 - Acquerir un kiosque mobile d informations sociales pour Auteuil-Sud,3 - Nettoyer le mur des rampes du Pont de Bir-Hakeim,4 - Nettoyer les murs exterieurs du cimetiere de Passy,5 - Apaiser la circulation automobile dans le 16e,6 - Installer des preaux dans deux ecoles du 16e,7 - Aider a la renovation du domaine de Bagatelle,8 - Restaurer le monument Claude Debussy,9 - Ameliorer le cadre de vie dans le Bois de Boulogne,10 - Restaurer la Fontaine Victor Hugo,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
11902,U16-004,2022AR16A,Valide,2,2,2,2,2,3,2,2,2,novote,9,0,8,1,0,1
11908,U16-004,2022AR16B,Valide,novote,4,novote,novote,4,2,2,4,1,4,7,1,2,0,4,3
11909,U16-004,2022AR16A,Valide,2,novote,2,novote,4,novote,1,novote,novote,2,5,1,3,0,1,5
11910,U16-004,2022AR16B,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
11911,U16-004,2022AR16A,Valide,3,2,novote,novote,novote,1,novote,novote,2,novote,4,1,2,1,0,6
11914,U16-004,2022AR16B,Valide,novote,2,novote,novote,2,4,novote,novote,3,novote,4,0,2,1,1,6
11916,U16-004,2022AR16A,Valide,2,4,2,4,novote,1,4,2,2,3,9,1,4,1,3,1
11921,U16-004,2022AR16B,Valide,3,2,2,3,2,3,2,2,2,2,10,0,7,3,0,0
11922,U16-004,2022AR16B,Valide,1,1,1,1,1,1,novote,1,novote,novote,7,7,0,0,0,3
11923,U16-004,2022AR16B,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
11926,U16-004,2022AR16A,Valide,1,novote,1,2,1,3,novote,novote,1,novote,6,4,1,1,0,4
11929,U16-004,2022AR16A,Valide,2,3,3,3,2,2,3,3,2,3,10,0,4,6,0,0
11931,U16-004,2022AR16B,Valide,2,1,novote,1,1,1,1,novote,novote,1,7,6,1,0,0,3
11934,U16-004,2022AR16B,Valide,1,novote,novote,1,1,1,novote,novote,1,novote,5,5,0,0,0,5
11936,U16-004,2022AR16A,Valide,novote,1,novote,novote,1,1,novote,novote,novote,1,4,4,0,0,0,6
11937,U16-004,2022AR16B,Valide,1,2,1,1,1,1,3,3,3,3,10,5,1,4,0,0
11944,U16-004,2022AR16B,Valide,3,3,3,2,3,1,novote,2,2,2,9,1,4,4,0,1
11946,U16-004,2022AR16B,Valide,novote,novote,novote,novote,1,1,3,3,3,3,6,2,0,4,0,4
11950,U16-004,2022AR16B,Valide,1,3,1,1,1,1,4,3,1,1,10,7,0,2,1,0
11952,U16-004,2022AR16A,Valide,2,2,1,3,1,2,3,3,2,2,10,2,5,3,0,0
11966,U16-004,2022AR16B,Valide,4,4,4,4,2,4,3,4,2,3,10,0,2,2,6,0
11969,U16-004,2022AR16B,Valide,novote,3,novote,3,2,novote,1,novote,novote,novote,4,1,1,2,0,6
11972,U16-004,2022AR16A,Valide,novote,novote,2,2,2,2,2,3,2,3,8,0,6,2,0,2
11978,U16-004,2022AR16B,Nul,novote,novote,novote,novote,2,3,novote,novote,2,novote,3,0,2,1,0,7
11982,U16-004,2022AR16A,Valide,1,4,1,4,4,1,1,4,1,4,10,5,0,0,5,0
11990,U16-004,2022AR16A,Valide,novote,novote,2,novote,2,1,novote,novote,2,novote,4,1,3,0,0,6
12003,U16-004,2022AR16B,Valide,3,2,1,1,1,2,3,3,1,3,10,4,2,4,0,0
12009,U16-004,2022AR16A,Valide,1,1,novote,novote,novote,1,1,novote,1,novote,5,5,0,0,0,5
12010,U16-004,2022AR16B,Valide,1,2,1,1,4,1,4,2,2,2,10,4,4,0,2,0
12011,U16-004,2022AR16B,Valide,2,3,2,2,3,2,2,2,2,2,10,0,8,2,0,0
12018,U16-004,2022AR16A,Valide,2,novote,novote,novote,2,2,novote,novote,2,novote,4,0,4,0,0,6
12026,U16-004,2022AR16B,Nul,novote,novote,1,1,novote,novote,novote,novote,novote,novote,2,2,0,0,0,8
12027,U16-004,2022AR16A,Nul,novote,novote,novote,novote,novote,1,1,novote,novote,1,3,3,0,0,0,7
12030,U16-004,2022AR16B,Valide,2,novote,3,3,novote,2,3,3,1,2,8,1,3,4,0,2
12033,U16-004,2022AR16B,Valide,2,3,2,novote,4,3,2,2,2,3,9,0,5,3,1,1
12040,U16-004,2022AR16A,Valide,2,2,1,2,2,1,2,novote,1,3,9,3,5,1,0,1
12045,U16-004,2022AR16B,Valide,1,novote,1,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,6
12051,U16-004,2022AR16A,Valide,novote,3,4,novote,1,novote,novote,novote,2,novote,4,1,1,1,1,6
12056,U16-004,2022AR16B,Valide,1,novote,1,1,novote,novote,novote,1,novote,novote,4,4,0,0,0,6
12059,U16-004,2022AR16B,Valide,1,3,2,4,1,1,3,3,1,1,10,5,1,3,1,0
12062,U16-004,2022AR16A,Valide,1,4,3,2,3,1,2,4,3,2,10,2,3,3,2,0
12069,U16-004,2022AR16B,Valide,1,1,1,novote,1,1,1,novote,novote,novote,6,6,0,0,0,4
