ID,Urne,QR-Code,Categorie,1 - ilot refuge pour pietons et velos pont Alexandre III,2 - Reamenager et equiper les espaces verts du 7e arrondissement,3 - Embellir les cours des ecoles du 7e arrondissement !,4  - Reamenagement des espaces dedies a la jeunesse,5 - Restauration des chapelles Sainte-Valere et Sainte-Clotilde,6 - Restauration du temple de Pentemont,7 - Restaurer la sacristie de l eglise Saint-Thomas d Aquin et son local,8 - Restaurer le Champ de Mars et son mobilier historique,9 - Sauvegarde des statues de l arrondissement,10 - Vegetalisation et equipement de la place Fontenoy,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
4670,U07-005,2022AR07A,Valide,1,1,1,novote,novote,1,novote,novote,novote,novote,4,4,0,0,0,6
4672,U07-005,2022AR07B,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
4676,U07-005,2022AR07A,Nul,novote,2,novote,1,novote,novote,novote,2,novote,novote,3,1,2,0,0,7
4683,U07-005,2022AR07A,Nul,1 2,2,1 2,1,3,3,3,1,1,3,8,3,1,4,0,0
4687,U07-005,2022AR07B,Valide,novote,novote,novote,novote,2,2,2,1,1,1,6,3,3,0,0,4
4691,U07-005,2022AR07B,Valide,novote,novote,novote,novote,2,2,2,2,2,1,6,1,5,0,0,4
4693,U07-005,2022AR07B,Valide,novote,1,novote,1,novote,novote,novote,2,1,novote,4,3,1,0,0,6
4697,U07-005,2022AR07A,Valide,2,1,1,1,2,1,2,1,2,1,10,6,4,0,0,0
4699,U07-005,2022AR07A,Valide,2,1,1,1,3,3,4,1,1,3,10,5,1,3,1,0
4703,U07-005,2022AR07B,Valide,novote,2,2,novote,novote,novote,novote,1,novote,2,4,1,3,0,0,6
4706,U07-005,2022AR07B,Nul,novote,1,novote,novote,novote,novote,novote,1,novote,1,3,3,0,0,0,7
4712,U07-005,2022AR07B,Valide,novote,2,novote,1,novote,novote,novote,1,novote,1,4,3,1,0,0,6
4717,U07-005,2022AR07A,Valide,3,2,2,3,4,4,4,3,2,1,10,1,3,3,3,0
4718,U07-005,2022AR07B,Valide,novote,1,1,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,6
4721,U07-005,2022AR07B,Valide,2,1,1,3,3,3,3,3,3,3,10,2,1,7,0,0
4731,U07-005,2022AR07B,Valide,3,1,1,1,2,2,2,1,2,2,10,4,5,1,0,0
4733,U07-005,2022AR07B,Nul,novote,novote,novote,novote,2,2,3,1 2,1 2,2,4,0,3,1,0,4
4735,U07-005,2022AR07B,Valide,1,1,3,novote,novote,novote,novote,novote,novote,2,4,2,1,1,0,6
4743,U07-003,2022AR07B,Valide,4,1,3,3,2,2,1,1,novote,1,9,4,2,2,1,1
4748,U07-005,2022AR07A,Valide,2,2,3,novote,novote,novote,novote,2,2,3,6,0,4,2,0,4
4750,U07-005,2022AR07B,Valide,2,2,4,3,2,2,3,2,1,1,10,2,5,2,1,0
