ID,Urne,QR-Code,Categorie,1 - Ameliorer l accueil des sportifs dans le 12e arrondissement,2 - Renover nos Terrains d’Education Physique (TEP),3 - Faire du 12e un arrondissement plus solidaire,4 - Realiser deux amenagements ponctuels et mesurer la pollution sonore,"5 - Sublimer nos squares, parcs et jardins",6 - Ameliorer le quotidien des eleves du 12e,7 - Faisons du 12e un arrondissement toujours plus culturel !,8 - Renovons notre Patrimoine,9 - Restaurer la facade de l eglise du Rendez vous,10 - Ameliorer le quotidien des habitant·e·s du quartier Bel-Air Nord,11 - Renforcer l accessibilite et l inclusivite dans le 12e arrondissement,12 - Valoriser les squares du quartier Erard-Rozanoff,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
204717,U12-008,2022AR12B,Valide,3,3,3,1,1,4,3,3,4,2,3,2,12,2,2,6,2,0
204719,U12-010,2022AR12B,Nul,novote,novote,1,novote,1,novote,1,novote,novote,novote,novote,novote,3,3,0,0,0,9
204723,U12-008,2022AR12B,Valide,3,3,2,2,1,2,1,2,2,2,2,2,12,2,8,2,0,0
204726,U12-008,2022AR12A,Valide,1,1,novote,3,1,1,3,3,3,1,1,1,11,7,0,4,0,1
204734,U12-008,2022AR12B,Valide,1,1,1,4,3,novote,2,4,4,3,novote,4,10,3,1,2,4,2
204740,U12-008,2022AR12B,Valide,1,2,1,1,2,1,1,1,1,3,1,3,12,8,2,2,0,0
204742,U12-010,2022AR12B,Valide,novote,novote,1,novote,1,1,novote,novote,novote,novote,1,novote,4,4,0,0,0,8
204745,U12-008,2022AR12B,Valide,1,4,2,1,2,4,2,2,4,4,1,2,12,3,5,0,4,0
204751,U12-008,2022AR12A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,12,12,0,0,0,0
204757,U12-008,2022AR12B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
204763,U12-010,2022AR12A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
204766,U12-008,2022AR12A,Valide,2,1,2,2,2,1,2,3,3,2,2,1,12,3,7,2,0,0
