ID,Urne,QR-Code,Categorie,1 - Moderniser les salles d escrime du gymnase Buffault,2 - Reinventer la maison pour tous YMCA de la rue de Trevise,3 - Installer des radars pedagogiques,4 - Diversifier les commerces dans le quartier Pigalle,5 - Ameliorer le confort des usagers du Conservatoire Boulanger,6 - Creer un parcours patrimonial grace a des QR codes,7 - Restaurer les publicites peintes de la rue des Martyrs,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
3908,U09-002,2022AR09A,Valide,novote,1,novote,2,1,novote,2,4,2,2,0,0,3
3910,U09-002,2022AR09A,Valide,1,1,4,3,1,3,1,7,4,0,2,1,0
3915,U09-002,2022AR09A,Valide,4,1,4,1,4,1,1,7,4,0,0,3,0
3917,U09-002,2022AR09A,Valide,3,1,1,2,2,2,3,7,2,3,2,0,0
3918,U09-002,2022AR09A,Valide,novote,novote,4,3,novote,4,4,4,0,0,1,3,3
3921,U09-002,2022AR09A,Valide,4,3,2,novote,1,2,3,6,1,2,2,1,1
3923,U09-002,2022AR09A,Valide,1,2,1,3,1,2,4,7,3,2,1,1,0
3926,U09-002,2022AR09A,Valide,3,1,3,1,2,1,1,7,4,1,2,0,0
3927,U09-002,2022AR09A,Valide,novote,1,novote,2,1,novote,2,4,2,2,0,0,3
3929,U09-002,2022AR09A,Valide,3,3,1,2,1,2,2,7,2,3,2,0,0
3931,U09-002,2022AR09A,Valide,novote,1,2,2,novote,2,2,5,1,4,0,0,2
3933,U09-002,2022AR09A,Valide,4,4,2,4,1,1,1,7,3,1,0,3,0
3935,U09-002,2022AR09A,Valide,novote,2,2,novote,1,novote,2,4,1,3,0,0,3
3937,U09-002,2022AR09A,Nul,novote,1,novote,novote,novote,novote,novote,1,1,0,0,0,6
3938,U09-002,2022AR09A,Nul,novote,novote,novote,novote,1,novote,novote,1,1,0,0,0,6
3939,U09-002,2022AR09A,Valide,2,2,2,2,2,1,2,7,1,6,0,0,0
3940,U09-002,2022AR09A,Valide,novote,1,1,novote,1,novote,1,4,4,0,0,0,3
3942,U09-002,2022AR09A,Valide,3,3,3,novote,3,novote,3,5,0,0,5,0,2
3943,U09-002,2022AR09A,Valide,novote,3,2,novote,1,novote,1,4,2,1,1,0,3
3946,U09-002,2022AR09A,Valide,novote,novote,1,1,1,2,1,5,4,1,0,0,2
3947,U09-002,2022AR09A,Valide,2,1,1,3,1,2,2,7,3,3,1,0,0
3949,U09-002,2022AR09A,Valide,novote,4,4,4,1,novote,novote,4,1,0,0,3,3
3952,U09-002,2022AR09A,Valide,2,novote,novote,novote,2,1,1,4,2,2,0,0,3
3953,U09-002,2022AR09A,Valide,1,4,1,1,1,1,1,7,6,0,0,1,0
3954,U09-002,2022AR09A,Valide,2,novote,2,2,novote,1,novote,4,1,3,0,0,3
3957,U09-002,2022AR09A,Valide,1,2,3,2,2,4,4,7,1,3,1,2,0
3959,U09-002,2022AR09A,Valide,novote,1,3,2,novote,novote,2,4,1,2,1,0,3
3960,U09-002,2022AR09A,Valide,3,2,2,2,2,4,2,7,0,5,1,1,0
3962,U09-002,2022AR09A,Valide,4,1,4,novote,2,novote,1,5,2,1,0,2,2
3963,U09-002,2022AR09A,Valide,novote,2,2,2,1,novote,novote,4,1,3,0,0,3
3964,U09-002,2022AR09A,Valide,novote,1,novote,1,3,novote,1,4,3,0,1,0,3
3970,U09-002,2022AR09A,Valide,3,1,2,1,1,1,2,7,4,2,1,0,0
3971,U09-002,2022AR09A,Valide,4,4,4,4,1,4,4,7,1,0,0,6,0
3972,U09-002,2022AR09A,Valide,1,2,3,3,2,1,2,7,2,3,2,0,0
3978,U09-002,2022AR09A,Valide,2,2,3,3,1,3,2,7,1,3,3,0,0
3980,U09-002,2022AR09A,Valide,1,novote,1,novote,1,1,novote,4,4,0,0,0,3
3981,U09-002,2022AR09A,Valide,novote,1,2,2,novote,novote,2,4,1,3,0,0,3
3984,U09-002,2022AR09B,Valide,novote,3,1,2,3,1,2,6,2,2,2,0,1
3985,U09-002,2022AR09A,Valide,4,4,1,2,1,4,4,7,2,1,0,4,0
3994,U09-002,2022AR09A,Valide,novote,1,1,1,novote,1,1,5,5,0,0,0,2
3995,U09-002,2022AR09A,Valide,novote,4,1,4,1,novote,1,5,3,0,0,2,2
3996,U09-002,2022AR09A,Valide,novote,1,2,3,3,2,2,6,1,3,2,0,1
4000,U09-002,2022AR09A,Valide,novote,novote,1,2,1,3,1,5,3,1,1,0,2
4001,U09-002,2022AR09A,Valide,3,1,novote,1,novote,novote,3,4,2,0,2,0,3
4003,U09-002,2022AR09A,Valide,novote,1,1,2,2,1,2,6,3,3,0,0,1
4005,U09-002,2022AR09A,Valide,novote,1,3,4,4,novote,novote,4,1,0,1,2,3
4008,U09-002,2022AR09A,Valide,1,1,1,1,1,novote,novote,5,5,0,0,0,2
