ID,Urne,QR-Code,Categorie,1 - Des stationnements pour les velos,2 - Renovation espace de glisse JEMMAPES,3 - Un terrain couvert pour les sportifs du 10eme,4 - Aider les sans-abris et lutter contre la precarite menstruelle,5 - Agrandir le jardin du Chalet et favoriser la biodiversite,6 - Des cours d ecoles et de colleges vegetalisees et Oasis,7 - Les ecoliers du 10e pionniers de l egalite numerique,8 - Un eco-lieu pour le 10e,9 - Rendre son lustre a la maison des habitant.e.s du 10e !,10 - Restauration de la Chapelle de la Vierge,11 - Restauration des decors de l eglise Saint-Martin-des-Champs,12 - Restaurer les grilles de l eglise Saint-Vincent-de-Paul,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
100837,U10-007,2022AR10A,Valide,3,3,3,2,1,1,3,2,2,novote,3,2,11,2,4,5,0,1
100844,U10-006,2022AR10A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
100881,U10-008,2022AR10A,Valide,1,2,2,1,2,2,2,1,3,3,3,3,12,3,5,4,0,0
100916,U10-011,2022AR10B,Valide,2,novote,novote,2,2,novote,2,1,novote,novote,novote,novote,5,1,4,0,0,7
100983,U10-011,2022AR10A,Valide,4,4,4,4,4,novote,4,novote,4,4,4,4,10,0,0,0,10,2
100997,U10-011,2022AR10A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
101061,U10-008,2022AR10A,Valide,novote,1,novote,1,1,1,novote,novote,novote,novote,novote,novote,4,4,0,0,0,8
101068,U10-011,2022AR10A,Valide,2,3,3,2,2,1,3,1,2,3,2,4,12,2,5,4,1,0
101102,U75-001,2022AR10A,Valide,2,2,4,1,1,1,2,1,3,3,3,3,12,4,3,4,1,0
101139,U10-008,2022AR10A,Valide,novote,1,1,1,1,novote,1,novote,novote,novote,novote,novote,5,5,0,0,0,7
