ID,Urne,QR-Code,Categorie,1 - Developper les stationnements velos dans le 19e,2 - Faciliter les deplacements des pietons et des cyclistes,3 - Marcher et pedaler en toute securite,4 - Destination 2024 : le 19e a l heure du sport,5 - Modernisons nos equipements pour faire du sport ensemble,6 - Faire vivre l inclusion dans le 19e,7 - Soutenons le dynamisme associatif et solidaire de nos quartiers,8 - Rafraichir la ville et promouvoir la biodiversite,"9 - Cours vegetalisees, musique et lecture pour mieux vivre a l ecole",10 - Plus belles nos ecoles : de la nature et du ciel bleu,"11 - Art, patrimoine et couleur : le 19e plus culturel",12 - Embellir et illuminer les rues et jardins de nos quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
191677,U19-041,2022AR19B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,1,4,4,0,0,0,8
191683,U19-043,2022AR19B,Valide,1,1,2,1,1,1,1,1,1,1,2,1,12,10,2,0,0,0
191694,U19-032,2022AR19B,Valide,4,novote,novote,novote,novote,novote,novote,novote,novote,3,3,3,4,0,0,3,1,8
191699,U19-019,2022AR19A,Valide,novote,novote,novote,1,1,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,8
191701,U19-041,2022AR19B,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,novote,2,1,4,3,1,0,0,8
191704,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,8
191706,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,8
191712,U19-041,2022AR19A,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,novote,1,1,4,4,0,0,0,8
191714,U19-041,2022AR19A,Valide,1,2,1,1,1,novote,novote,novote,novote,novote,novote,novote,5,4,1,0,0,7
191717,U19-032,2022AR19B,Nul,4,novote,1 3,2,2,novote,novote,novote,novote,novote,novote,novote,3,0,2,0,1,8
191719,U19-032,2022AR19B,Valide,4,novote,2,2,1,novote,novote,novote,novote,novote,novote,novote,4,1,2,0,1,8
191722,U75-001,2022AR19A,Valide,4,4,4,1,2,1,1,1,1,1,1,1,12,8,1,0,3,0
191731,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
191735,U19-032,2022AR19B,Valide,4,novote,2,novote,novote,novote,novote,2,novote,3,novote,novote,4,0,2,1,1,8
191739,U19-032,2022AR19B,Valide,4,novote,2,3,1,novote,novote,novote,novote,novote,novote,novote,4,1,1,1,1,8
191743,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,8
191745,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,1,1,1,5,5,0,0,0,7
191750,U19-032,2022AR19B,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
191756,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,8
191758,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
191762,U19-036,2022AR19A,Valide,1,1,2,2,2,2,1,1,1,2,3,1,12,6,5,1,0,0
191763,U19-041,2022AR19A,Valide,novote,novote,novote,1,1,1,1,novote,2,2,3,novote,7,4,2,1,0,5
191768,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,8
191793,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,8
191795,U19-032,2022AR19B,Valide,1,1,1,1,1,novote,novote,novote,novote,novote,novote,novote,5,5,0,0,0,7
191802,U19-032,2022AR19B,Valide,4,novote,3,1,1,novote,novote,novote,novote,novote,novote,novote,4,2,0,1,1,8
191806,U19-032,2022AR19B,Valide,4,2,1,2,novote,novote,novote,novote,novote,novote,novote,novote,4,1,2,0,1,8
191808,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,8
191816,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
191817,U19-007,2022AR19A,Valide,1,1,1,1,1,novote,novote,novote,novote,novote,novote,novote,5,5,0,0,0,7
191830,U19-032,2022AR19B,Valide,4,novote,2,novote,novote,novote,novote,novote,novote,2,3,novote,4,0,2,1,1,8
191836,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
191841,U19-007,2022AR19B,Valide,1,1,1,novote,1,novote,novote,4,1,3,novote,novote,7,5,0,1,1,5
