ID,Urne,QR-Code,Categorie,1 - Installer du mobilier urbain sur les berges pour les sports de glisse,2 - Rendre l eglise St-Germain l Auxerrois accessible au PMR,3 - Poursuivre la refection des chaussees des Grands Boulevards,4 - Ameliorer le confort et l amenagement d etablissements scolaires,5 - Completer la renovation des arcades de la rue de Rivoli,6 - Ravaler la facade de l eglise St-Nicolas-des-Champs,7 - Rénover le petit tunnel de l ecluse du bassin de l Arsenal,8 - Restaurer la facade et les candelabres de l eglise des Blancs-Manteaux,9 - Restaurer le patrimoine de 3 eglises de Paris Centre,10 - Restaurer le toit et les decors de l eglise Ste-Elisabeth de Hongrie,11 - Restaurer les chapelles de l eglise St-Germain-l Auxerrois,12 - Restaurer les fontaines du Theatre Francais,13 - Restaurer les peintures de 2 eglises et tracer le chemin de Compostelle,14 - Remplacer et renover les bancs de Paris Centre,15 - Renover les reverberes du Louvre,16 - Vegetaliser temporairement la rue Greneta,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
115886,U01-003,2022AR01B,Valide,novote,1,novote,1,1,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,12
115902,U01-011,2022AR01A,Valide,3,2,3,1,1,3,4,3,novote,novote,novote,novote,novote,1,2,novote,10,3,2,4,1,6
115914,U01-003,2022AR01B,Valide,novote,novote,1,1,novote,novote,novote,novote,novote,2,novote,novote,1,novote,novote,novote,4,3,1,0,0,12
115919,U01-006,2022AR01B,Valide,4,4,4,1,2,3,4,3,3,3,3,3,3,2,2,4,16,1,3,7,5,0
115926,U01-003,2022AR01A,Valide,novote,novote,novote,1,1,novote,novote,novote,1,novote,novote,1,novote,novote,novote,novote,4,4,0,0,0,12
115941,U01-003,2022AR01A,Valide,novote,1,novote,2,novote,novote,novote,1,novote,novote,novote,2,novote,novote,novote,novote,4,2,2,0,0,12
115954,U01-002,2022AR01B,Valide,2,2,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,novote,novote,4,1,3,0,0,12
115958,U01-003,2022AR01B,Valide,novote,novote,novote,novote,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,12
115966,U01-011,2022AR01A,Valide,2,1,3,1,3,2,2,2,3,2,2,1,1,1,1,1,16,7,6,3,0,0
115972,U01-003,2022AR01B,Valide,novote,1,novote,1,novote,1,novote,novote,novote,novote,1,novote,novote,1,novote,novote,5,5,0,0,0,11
115982,U01-012,2022AR01A,Valide,1,3,3,1,2,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,5,2,1,2,0,11
115993,U01-003,2022AR01A,Valide,novote,novote,1,novote,novote,novote,novote,novote,1,novote,1,novote,1,novote,novote,4,5,4,0,0,1,11
116000,U01-012,2022AR01A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,1,1,novote,1,15,15,0,0,0,1
116009,U01-003,2022AR01B,Valide,2,1,1,1,1,novote,novote,novote,novote,novote,1,2,novote,2,novote,novote,8,5,3,0,0,8
