ID,Urne,QR-Code,Categorie,1 - Favoriser le lien social et les pratiques artistiques et sportives,2 - Kits pedagogiques pour parler aux enfants des personnes SDF,3 - Lutter contre les inegalites d acces,4 - Securiser et amenager pour favoriser les mobilites douces,5 - Vegetaliser l arrondissement et amenager les parcs et jardins,6 - Doter les ecoles du 18e de davantage d outils numeriques,7 - Creer une ecole des metiers du velo du Grand Paris,8 - Mettre en lumiere les monuments de Chapelle Marx Dormoy,9 - Mettre en valeur l histoire du quartier La Chapelle,10 - Restaurer la fleche de l eglise St-Bernard,11 - Restaurer le patrimoine cultuel,12 - Mettre de la couleur sur les murs,13 - Vegetaliser et ameliorer les lieux publics dans les quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
142092,U18-001,2022AR18B,Valide,2,2,1,2,2,3,4,2,2,1,2,2,2,13,2,9,1,1,0
142093,U18-003,2022AR18A,Valide,1,1,1,1,1,2,1,2,2,2,2,2,1,13,7,6,0,0,0
142111,U18-011,2022AR18B,Valide,novote,novote,1,novote,novote,1,1,4,4,novote,1,2,1,8,5,1,0,2,5
142114,U18-001,2022AR18B,Nul,novote,novote,novote,novote,2,novote,novote,novote,novote,1,novote,novote,novote,2,1,1,0,0,11
142133,U18-003,2022AR18A,Valide,2,1,1,1,2,2,2,2,1,1,2,1,1,13,7,6,0,0,0
142135,U18-004,2022AR18B,Valide,3,3,3,2,3,3,3,3,3,3,3,4,2,13,0,2,10,1,0
142157,U18-011,2022AR18B,Valide,1,1,2,3,2,3,2,4,3,2,3,2,3,13,2,5,5,1,0
142170,U18-012,2022AR18B,Nul,1 2,2,novote,1 2,1,2,2,2,2,novote,2,2,1 2,8,1,7,0,0,2
142172,U18-003,2022AR18A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,0,0,0,0
142178,U18-005,2022AR18A,Valide,1,novote,1,novote,1,novote,novote,1,novote,novote,novote,1,1,6,6,0,0,0,7
142191,U18-012,2022AR18B,Valide,2,2,2,2,2,2,2,4,4,novote,2,novote,2,11,0,9,0,2,2
142197,U18-004,2022AR18B,Valide,2,2,1,3,1,2,1,3,3,3,2,4,1,13,4,4,4,1,0
142199,U18-011,2022AR18B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,13
142200,U18-005,2022AR18A,Valide,1,1,1,3,1,1,3,3,3,3,3,4,1,13,6,0,6,1,0
142209,U18-005,2022AR18A,Valide,novote,1,1,novote,novote,novote,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,9
