ID,Urne,QR-Code,Categorie,1 - Bagagerie solidaire dans le 6e arrondissement,2 - Installation de brumisateurs urbains,3 - Ouverture d un Jardin Partage - Rue du Cherche-Midi,4 - Revelation d un petit jardin - Angle Littre-Vaugirard,5 - Des videoprojecteurs interactifs pour les ecoles du 6e,6 - Dotation aux ecoles de solution de fraicheur,7 - Les jardiniers du Jardinet,8 - Creer un espace scenique ouvert a tous publics et styles,9 - Restaurer le patrimoine cultuel et culturel du 6e arrondissement,10 - Un parc d exercice et de detente canin,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
570,U06-002,2022AR06B,Valide,1,2,1,novote,novote,novote,2,novote,1,3,6,3,2,1,0,4
573,U06-002,2022AR06B,Valide,4,4,3,3,1,3,3,4,1,4,10,2,0,4,4,0
585,U06-002,2022AR06A,Valide,1,novote,novote,novote,1,novote,novote,1,1,novote,4,4,0,0,0,6
590,U06-002,2022AR06A,Valide,1,4,novote,2,1,4,2,3,1,4,9,3,2,1,3,1
592,U06-002,2022AR06B,Valide,novote,1,novote,novote,1,1,1,novote,novote,novote,4,4,0,0,0,6
593,U06-002,2022AR06A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
601,U06-002,2022AR06B,Valide,novote,novote,novote,novote,1,novote,2,1,2,novote,4,2,2,0,0,6
603,U06-002,2022AR06B,Nul,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,1,0,0,0,9
605,U06-002,2022AR06B,Valide,1,novote,1,1,novote,1,novote,novote,2,novote,5,4,1,0,0,5
606,U06-002,2022AR06A,Valide,novote,novote,2,novote,1,2,2,novote,novote,novote,4,1,3,0,0,6
610,U06-002,2022AR06A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
614,U06-002,2022AR06A,Valide,novote,1,1,1,novote,novote,1,novote,1,novote,5,5,0,0,0,5
616,U06-002,2022AR06B,Valide,2,3,3,3,2,3,4,2,1,4,10,1,3,4,2,0
618,U06-002,2022AR06B,Valide,novote,novote,2,novote,novote,2,novote,2,2,novote,4,0,4,0,0,6
619,U06-002,2022AR06A,Valide,4,3,1,2,2,1,3,4,4,4,10,2,2,2,4,0
620,U06-002,2022AR06B,Valide,novote,novote,2,novote,4,novote,novote,novote,1,4,4,1,1,0,2,6
633,U06-002,2022AR06B,Valide,novote,1,3,novote,1,3,novote,novote,novote,novote,4,2,0,2,0,6
634,U06-002,2022AR06A,Valide,2,novote,2,novote,novote,novote,2,novote,1,novote,4,1,3,0,0,6
636,U06-002,2022AR06A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
638,U06-002,2022AR06B,Valide,2,1,2,1,3,2,1,2,2,2,10,3,6,1,0,0
639,U06-002,2022AR06B,Valide,4,4,4,4,1,4,4,4,4,4,10,1,0,0,9,0
642,U06-002,2022AR06B,Valide,1,2,1,1,3,4,4,2,4,4,10,3,2,1,4,0
647,U06-002,2022AR06A,Valide,1,novote,1,1,novote,novote,1,novote,1,novote,5,5,0,0,0,5
651,U06-002,2022AR06A,Valide,novote,novote,2,novote,3,novote,3,novote,1,novote,4,1,1,2,0,6
660,U06-002,2022AR06B,Valide,4,4,3,3,3,3,2,3,1,4,10,1,1,5,3,0
661,U06-002,2022AR06B,Valide,novote,3,novote,2,novote,novote,3,novote,1,novote,4,1,1,2,0,6
662,U06-002,2022AR06B,Valide,2,novote,2,1,3,2,2,3,2,3,9,1,5,3,0,1
665,U06-002,2022AR06A,Valide,1,1,1,novote,novote,novote,1,1,novote,novote,5,5,0,0,0,5
666,U06-002,2022AR06B,Valide,4,novote,novote,novote,2,novote,novote,novote,1,4,4,1,1,0,2,6
667,U06-002,2022AR06A,Valide,1,2,2,1,novote,novote,2,3,3,4,8,2,3,2,1,2
670,U06-002,2022AR06A,Valide,3,4,4,2,1,3,2,1,4,4,10,2,2,2,4,0
