ID,Urne,QR-Code,Categorie,1 - La modernisation du centre sportif Georges Carpentier,2 - Une activite sportive pour toutes et tous !,3 - Maison des Associations et club-house : se retrouver et recevoir !,4 - Vos projets pour faire du partage une valeur commune !,5 - Ameliorer l acces aux outils numeriques dans les ecoles !,6 - Modernisation et renovation de vos Centres Paris Anim,7 - Vegetaliser et rafraichir les cours des ecoles et colleges,8 - Vos projets pour ameliorer le cadre de vie dans nos écoles !,9 - De la place pour les animaux au Parc de Choisy : plus de biodiversite,"10 - Vos micro-quartiers : fresques, jeux, jardins et accessibilite !",Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
21127,U13-085,2022AR13A,Valide,novote,novote,novote,novote,1,1,1,novote,1,novote,4,4,0,0,0,6
21138,U13-051,2022AR13B,Valide,novote,novote,novote,novote,2,1,2,1,2,1,6,3,3,0,0,4
21139,U13-032,2022AR13A,Valide,3,3,3,2,2,1,1,1,3,3,10,3,2,5,0,0
21159,U13-051,2022AR13B,Valide,novote,novote,novote,novote,2,2,2,novote,novote,1,4,1,3,0,0,6
21179,U13-032,2022AR13A,Valide,1,2,2,2,1,3,novote,novote,novote,novote,6,2,3,1,0,4
21195,U13-081,2022AR13A,Valide,1,novote,novote,novote,1,2,novote,novote,novote,2,4,2,2,0,0,6
21197,U13-032,2022AR13A,Valide,1,1,1,novote,novote,novote,novote,novote,1,novote,4,4,0,0,0,6
21211,U13-085,2022AR13A,Valide,3,2,1,2,1,1,1,1,3,2,10,5,3,2,0,0
21231,U13-081,2022AR13A,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,9
21239,U13-085,2022AR13A,Valide,3,2,3,3,3,1,1,1,2,1,10,4,2,4,0,0
21247,U13-085,2022AR13B,Nul,novote,novote,novote,2,1,novote,1,novote,novote,novote,3,2,1,0,0,7
21248,U13-032,2022AR13A,Valide,1,1,2,2,2,2,2,2,3,2,10,2,7,1,0,0
21252,U13-032,2022AR13A,Valide,novote,1,novote,novote,1,novote,1,novote,novote,1,4,4,0,0,0,6
21264,U13-050,2022AR13A,Valide,2,2,2,3,1,2,1,1,2,2,10,3,6,1,0,0
21284,U13-085,2022AR13B,Valide,novote,1,novote,novote,1,1,novote,novote,novote,1,4,4,0,0,0,6
21287,U13-051,2022AR13B,Valide,novote,1,novote,novote,novote,1,1,novote,novote,1,4,4,0,0,0,6
21335,U13-051,2022AR13B,Valide,1,1,2,2,1,2,2,2,1,1,10,5,5,0,0,0
21360,U13-085,2022AR13A,Valide,3,1,3,2,1,1,1,1,2,3,10,5,2,3,0,0
21367,U13-051,2022AR13A,Valide,2,1,novote,2,1,2,1,2,novote,1,8,4,4,0,0,2
21397,U13-021,2022AR13B,Valide,2,2,1,2,1,1,2,2,2,2,10,3,7,0,0,0
21410,U13-032,2022AR13A,Valide,1,2,3,2,2,2,novote,novote,novote,novote,6,1,4,1,0,4
21420,U13-081,2022AR13A,Valide,3,3,3,3,1,3,1,1,2,2,10,3,2,5,0,0
21425,U13-081,2022AR13A,Valide,1,1,2,2,2,2,3,2,1,3,10,3,5,2,0,0
21451,U13-032,2022AR13A,Valide,2,2,2,3,1,1,1,1,2,1,10,5,4,1,0,0
21460,U13-032,2022AR13A,Nul,1 2,1,1,2,1,1,2,novote,novote,2,7,4,3,0,0,2
21476,U13-085,2022AR13A,Valide,2,1,2,2,2,1,2,3,2,2,10,2,7,1,0,0
21506,U13-047,2022AR13A,Valide,1,1,1,2,1,1,1,1,1,1,10,9,1,0,0,0
21547,U13-035,2022AR13B,Valide,1,novote,novote,novote,1,novote,1,novote,novote,1,4,4,0,0,0,6
21595,U18-083,2022AR13A,Valide,2,1,3,3,3,3,1,1,1,1,10,5,1,4,0,0
21605,U13-035,2022AR13A,Valide,novote,novote,novote,novote,1,2,1,2,novote,novote,4,2,2,0,0,6
